,Date,Code,Transect,adult,juv,col_m2,type,uo_DC,o_DC,DC,uo_LC,o_LC,LC,COTS,period,juv2,prop.dc
173,12/06/2013,S3-3,T3,3,3,0.04,Live,4,0,4,14,13,27,0,1,7,0.129032258
139,12/06/2013,S3-3,T3,4,5,0.16,Live,4,0,4,14,13,27,0,1,7,0.129032258
132,12/06/2013,S3-3,T3,8,7,0.31,Live,4,0,4,14,13,27,0,1,7,0.129032258
177,12/06/2013,S3-3,T3,8,9,0.09,Live,4,0,4,14,13,27,0,1,7,0.129032258
363,23/04/2013,MW1,T1,1,0,0.02,Live,5,0,5,14,5,19,0,1,2,0.208333333
375,23/04/2013,MW1,T1,2,0,0.02,Live,5,0,5,14,5,19,0,1,2,0.208333333
377,23/04/2013,MW1,T1,3,0,0.02,Live,5,0,5,14,5,19,0,1,2,0.208333333
362,23/04/2013,MW1,T1,4,0,0.1,Live,5,0,5,14,5,19,0,1,2,0.208333333
374,23/04/2013,MW1,T1,4,0,0.05,Live,5,0,5,14,5,19,0,1,2,0.208333333
229,05/05/2013,HG4,T1,0,1,0.08,Live,14,0,14,33,13,46,0,1,1,0.233333333
232,05/05/2013,HG4,T1,1,0,0.04,Live,14,0,14,33,13,46,0,1,1,0.233333333
240,05/05/2013,HG4,T1,1,1,0.05,Live,14,0,14,33,13,46,0,1,2,0.233333333
245,05/05/2013,HG4,T1,2,0,0.04,Live,14,0,14,33,13,46,0,1,1,0.233333333
248,05/05/2013,HG4,T1,2,0,0.03,Live,14,0,14,33,13,46,0,1,1,0.233333333
228,05/05/2013,HG4,T1,5,0,0.43,Live,14,0,14,33,13,46,0,1,1,0.233333333
257,05/05/2013,HG4,T1,5,2,0.04,Live,14,0,14,33,13,46,0,1,3,0.233333333
246,05/05/2013,HG4,T1,6,0,0.1,Live,14,0,14,33,13,46,0,1,1,0.233333333
252,05/05/2013,HG4,T1,7,2,0.1,Live,14,0,14,33,13,46,0,1,3,0.233333333
250,05/05/2013,HG4,T1,9,1,0.14,Live,14,0,14,33,13,46,0,1,2,0.233333333
247,05/05/2013,HG4,T1,10,0,0.16,Live,14,0,14,33,13,46,0,1,1,0.233333333
239,05/05/2013,HG4,T1,13,0,0.35,Live,14,0,14,33,13,46,0,1,1,0.233333333
251,05/05/2013,HG4,T1,29,2,0.39,Live,14,0,14,33,13,46,0,1,3,0.233333333
230,05/05/2013,HG6,T3,1,0,0.06,Live,10,0,10,18,6,24,0,1,1,0.294117647
258,05/05/2013,HG6,T3,5,1,0.04,Live,10,0,10,18,6,24,0,1,2,0.294117647
244,05/05/2013,HG6,T3,6,0,0.12,Live,10,0,10,18,6,24,0,1,1,0.294117647
227,05/05/2013,HG6,T3,7,0,0.84,Live,10,0,10,18,6,24,0,1,1,0.294117647
253,05/05/2013,HG6,T3,19,2,0.21,Live,10,0,10,18,6,24,0,1,3,0.294117647
249,05/05/2013,HG6,T3,27,0,0.4,Live,10,0,10,18,6,24,0,1,1,0.294117647
7,03/10/2013,S_3-2,T2,1,0,0.056,Live,16,2,18,17,12,29,4,1,2,0.382978723
27,03/10/2013,S_3-2,T2,3,1,0.048,Live,16,2,18,17,12,29,4,1,2,0.382978723
16,03/10/2013,S_3-2,T2,4,0,0.106,Live,16,2,18,17,12,29,4,1,2,0.382978723
36,03/10/2013,S_3-2,T2,4,1,0.049,Live,16,2,18,17,12,29,4,1,2,0.382978723
32,03/10/2013,S_3-2,T2,5,1,0.067,Live,16,2,18,17,12,29,4,1,2,0.382978723
15,03/10/2013,S_3-2,T2,6,0,0.162,Live,16,2,18,17,12,29,4,1,2,0.382978723
22,03/10/2013,S_3-2,T2,6,0,0.093,Live,16,2,18,17,12,29,4,1,2,0.382978723
29,03/10/2013,S_3-2,T2,6,0,0.07,Live,16,2,18,17,12,29,4,1,2,0.382978723
13,03/10/2013,S_3-2,T2,8,0,0.247,Live,16,2,18,17,12,29,4,1,2,0.382978723
40,03/10/2013,S_3-2,T2,8,1,0.075,Live,16,2,18,17,12,29,4,1,2,0.382978723
47,03/10/2013,S_3-2,T2,12,0,0.071,Live,16,2,18,17,12,29,4,1,2,0.382978723
33,03/10/2013,S_3-2,T2,18,0,0.198,Live,16,2,18,17,12,29,4,1,2,0.382978723
61,28/09/2013,MH-2,T2,2,1,0.037,Live,10,0,10,10,4,14,0,1,2,0.416666667
54,28/09/2013,MH-2,T2,3,0,0.055,Live,10,0,10,10,4,14,0,1,2,0.416666667
57,28/09/2013,MH-2,T2,3,0,0.04,Live,10,0,10,10,4,14,0,1,2,0.416666667
64,28/09/2013,MH-2,T2,8,0,0.058,Live,10,0,10,10,4,14,0,1,2,0.416666667
19,03/10/2013,S_3-3,T3,4,1,0.092,Live,19,6,25,18,13,31,1,1,2,0.446428571
31,03/10/2013,S_3-3,T3,4,1,0.057,Live,19,6,25,18,13,31,1,1,2,0.446428571
12,03/10/2013,S_3-3,T3,5,0,0.155,Live,19,6,25,18,13,31,1,1,2,0.446428571
18,03/10/2013,S_3-3,T3,6,0,0.15,Live,19,6,25,18,13,31,1,1,2,0.446428571
38,03/10/2013,S_3-3,T3,6,0,0.052,Live,19,6,25,18,13,31,1,1,2,0.446428571
41,03/10/2013,S_3-3,T3,6,0,0.05,Live,19,6,25,18,13,31,1,1,2,0.446428571
23,03/10/2013,S_3-3,T3,7,0,0.103,Live,19,6,25,18,13,31,1,1,2,0.446428571
42,03/10/2013,S_3-3,T3,7,0,0.054,Live,19,6,25,18,13,31,1,1,2,0.446428571
35,03/10/2013,S_3-3,T3,8,0,0.083,Live,19,6,25,18,13,31,1,1,2,0.446428571
43,03/10/2013,S_3-3,T3,9,0,0.068,Live,19,6,25,18,13,31,1,1,2,0.446428571
34,03/10/2013,S_3-3,T3,11,0,0.118,Live,19,6,25,18,13,31,1,1,2,0.446428571
39,03/10/2013,S_3-3,T3,17,0,0.145,Live,19,6,25,18,13,31,1,1,2,0.446428571
28,03/10/2013,S_3-3,T3,24,0,0.284,Live,19,6,25,18,13,31,1,1,2,0.446428571
166,12/06/2013,S1-5,T2,0,4,0.03,Live,6,1,7,5,2,7,2,1,1,0.5
69,14/06/2013,MD3,T3,1,0,0.04,Live,3,2,5,0,5,5,0,1,2,0.5
74,14/06/2013,MD3,T3,1,1,0.05,Live,3,2,5,0,5,5,0,1,2,0.5
92,14/06/2013,MD3,T3,1,1,0.02,Live,3,2,5,0,5,5,0,1,2,0.5
83,14/06/2013,MD3,T3,3,0,0.06,Live,3,2,5,0,5,5,0,1,2,0.5
81,14/06/2013,MD3,T3,5,1,0.12,Live,3,2,5,0,5,5,0,1,2,0.5
167,12/06/2013,S1-5,T2,10,4,0.11,Live,6,1,7,5,2,7,2,1,2,0.5
14,03/10/2013,S_3-1,T1,2,0,0.054,Live,27,3,30,16,11,27,2,1,2,0.526315789
6,03/10/2013,S_3-1,T1,3,0,0.179,Live,27,3,30,16,11,27,2,1,2,0.526315789
26,03/10/2013,S_3-1,T1,3,0,0.04,Live,27,3,30,16,11,27,2,1,2,0.526315789
21,03/10/2013,S_3-1,T1,4,0,0.064,Live,27,3,30,16,11,27,2,1,2,0.526315789
30,03/10/2013,S_3-1,T1,4,0,0.046,Live,27,3,30,16,11,27,2,1,2,0.526315789
20,03/10/2013,S_3-1,T1,5,0,0.085,Live,27,3,30,16,11,27,2,1,2,0.526315789
37,03/10/2013,S_3-1,T1,5,0,0.048,Live,27,3,30,16,11,27,2,1,2,0.526315789
25,03/10/2013,S_3-1,T1,7,0,0.096,Live,27,3,30,16,11,27,2,1,2,0.526315789
45,03/10/2013,S_3-1,T1,8,0,0.051,Live,27,3,30,16,11,27,2,1,2,0.526315789
44,03/10/2013,S_3-1,T1,10,0,0.071,Live,27,3,30,16,11,27,2,1,2,0.526315789
46,03/10/2013,S_3-1,T1,12,0,0.074,Live,27,3,30,16,11,27,2,1,2,0.526315789
320,24/04/2013,LL2,T2,0,1,0.05,Live,15,0,15,10,3,13,0,1,3,0.535714286
334,24/04/2013,LL2,T2,3,0,0.08,Live,15,0,15,10,3,13,0,1,4,0.535714286
356,24/04/2013,LL2,T2,7,0,0.08,Live,15,0,15,10,3,13,0,1,4,0.535714286
324,24/04/2013,HG2,T2,2,0,0.08,Live,32,0,32,21,5,26,2,1,1,0.551724138
75,14/06/2013,MD1,T1,2,0,0.05,Live,14,2,16,6,7,13,2,1,4,0.551724138
91,14/06/2013,MD1,T1,2,1,0.03,Live,14,2,16,6,7,13,2,1,4,0.551724138
319,24/04/2013,HG2,T2,3,0,0.18,Live,32,0,32,21,5,26,2,1,1,0.551724138
332,24/04/2013,HG2,T2,3,0,0.09,Live,32,0,32,21,5,26,2,1,1,0.551724138
84,14/06/2013,MD1,T1,3,1,0.07,Live,14,2,16,6,7,13,2,1,4,0.551724138
89,14/06/2013,MD1,T1,3,2,0.06,Live,14,2,16,6,7,13,2,1,4,0.551724138
82,14/06/2013,MD1,T1,4,0,0.08,Live,14,2,16,6,7,13,2,1,4,0.551724138
340,24/04/2013,HG2,T2,5,0,0.1,Live,32,0,32,21,5,26,2,1,1,0.551724138
346,24/04/2013,HG2,T2,5,0,0.08,Live,32,0,32,21,5,26,2,1,1,0.551724138
94,14/06/2013,MD1,T1,5,2,0.03,Live,14,2,16,6,7,13,2,1,4,0.551724138
93,14/06/2013,MD1,T1,8,1,0.08,Live,14,2,16,6,7,13,2,1,4,0.551724138
379,23/04/2013,K2,T2,9,0,0.03,Live,22,1,23,16,1,17,17,1,1,0.575
353,24/04/2013,LL1,T1,2,1,0.04,Live,13,2,15,6,5,11,0,1,4,0.576923077
333,24/04/2013,LL1,T1,4,0,0.11,Live,13,2,15,6,5,11,0,1,4,0.576923077
351,24/04/2013,LL1,T1,4,0,0.05,Live,13,2,15,6,5,11,0,1,4,0.576923077
355,24/04/2013,LL1,T1,5,1,0.07,Live,13,2,15,6,5,11,0,1,4,0.576923077
318,24/04/2013,LL1,T1,10,0,0.63,Live,13,2,15,6,5,11,0,1,4,0.576923077
114,12/06/2013,S2-3,T3,0,1,0.04,Live,10,0,10,3,4,7,0,1,1,0.588235294
107,12/06/2013,S2-3,T3,1,0,0.04,Live,10,0,10,3,4,7,0,1,2,0.588235294
179,12/06/2013,S2-3,T3,8,4,0.05,Live,10,0,10,3,4,7,0,1,2,0.588235294
182,12/06/2013,S2-3,T3,12,0,0.05,Live,10,0,10,3,4,7,0,1,2,0.588235294
368,23/04/2013,K3,T3,0,2,0.03,Live,23,1,24,10,5,15,23,1,2,0.615384615
358,23/04/2013,K3,T3,1,0,0.06,Live,23,1,24,10,5,15,23,1,1,0.615384615
361,23/04/2013,K3,T3,1,0,0.02,Live,23,1,24,10,5,15,23,1,1,0.615384615
365,23/04/2013,K3,T3,1,0,0.02,Live,23,1,24,10,5,15,23,1,1,0.615384615
371,23/04/2013,K3,T3,3,0,0.04,Live,23,1,24,10,5,15,23,1,1,0.615384615
119,12/06/2013,S2-1,T1,0,1,0.03,Live,12,3,15,3,6,9,0,1,1,0.625
151,12/06/2013,S2-1,T1,0,2,0.03,Live,12,3,15,3,6,9,0,1,1,0.625
159,12/06/2013,S2-1,T1,0,4,0.05,Live,12,3,15,3,6,9,0,1,1,0.625
136,12/06/2013,S2-1,T1,1,2,0.06,Live,12,3,15,3,6,9,0,1,2,0.625
170,12/06/2013,S2-1,T1,4,0,0.03,Live,12,3,15,3,6,9,0,1,2,0.625
174,12/06/2013,S2-1,T1,5,0,0.03,Live,12,3,15,3,6,9,0,1,2,0.625
321,24/04/2013,HG3,T3,2,0,0.1,Live,47,0,47,10,18,28,2,1,1,0.626666667
323,24/04/2013,HG3,T3,2,0,0.09,Live,47,0,47,10,18,28,2,1,1,0.626666667
325,24/04/2013,HG3,T3,2,0,0.08,Live,47,0,47,10,18,28,2,1,1,0.626666667
331,24/04/2013,HG3,T3,2,0,0.06,Live,47,0,47,10,18,28,2,1,1,0.626666667
342,24/04/2013,HG3,T3,2,1,0.06,Live,47,0,47,10,18,28,2,1,2,0.626666667
348,24/04/2013,HG3,T3,2,0,0.03,Live,47,0,47,10,18,28,2,1,1,0.626666667
317,24/04/2013,HG3,T3,3,0,0.37,Live,47,0,47,10,18,28,2,1,1,0.626666667
336,24/04/2013,HG3,T3,3,0,0.07,Live,47,0,47,10,18,28,2,1,1,0.626666667
344,24/04/2013,HG3,T3,4,0,0.07,Live,47,0,47,10,18,28,2,1,1,0.626666667
345,24/04/2013,HG3,T3,4,0,0.07,Live,47,0,47,10,18,28,2,1,1,0.626666667
347,24/04/2013,HG3,T3,4,0,0.06,Live,47,0,47,10,18,28,2,1,1,0.626666667
349,24/04/2013,HG3,T3,4,0,0.06,Live,47,0,47,10,18,28,2,1,1,0.626666667
350,24/04/2013,HG3,T3,4,0,0.06,Live,47,0,47,10,18,28,2,1,1,0.626666667
352,24/04/2013,HG3,T3,5,0,0.07,Live,47,0,47,10,18,28,2,1,1,0.626666667
354,24/04/2013,HG3,T3,5,0,0.06,Live,47,0,47,10,18,28,2,1,1,0.626666667
327,24/04/2013,HG3,T3,6,3,0.32,Live,47,0,47,10,18,28,2,1,4,0.626666667
341,24/04/2013,HG3,T3,9,0,0.18,Live,47,0,47,10,18,28,2,1,1,0.626666667
337,24/04/2013,HG3,T3,16,0,0.36,Live,47,0,47,10,18,28,2,1,1,0.626666667
101,12/06/2013,S2-2,T2,0,1,0.08,Live,14,3,17,3,7,10,0,1,1,0.62962963
134,12/06/2013,S2-2,T2,0,2,0.04,Live,14,3,17,3,7,10,0,1,1,0.62962963
104,12/06/2013,S2-2,T2,1,0,0.06,Live,14,3,17,3,7,10,0,1,2,0.62962963
118,12/06/2013,S2-2,T2,1,0,0.03,Live,14,3,17,3,7,10,0,1,2,0.62962963
108,12/06/2013,S2-2,T2,2,0,0.08,Live,14,3,17,3,7,10,0,1,2,0.62962963
56,28/09/2013,MH-3,T3,3,1,0.054,Live,16,1,17,7,3,10,2,1,2,0.62962963
161,12/06/2013,S2-2,T2,4,2,0.06,Live,14,3,17,3,7,10,0,1,2,0.62962963
65,28/09/2013,MH-3,T3,7,0,0.035,Live,16,1,17,7,3,10,2,1,2,0.62962963
58,28/09/2013,MH-3,T3,11,0,0.144,Live,16,1,17,7,3,10,2,1,2,0.62962963
181,12/06/2013,S2-2,T2,11,0,0.04,Live,14,3,17,3,7,10,0,1,2,0.62962963
49,28/09/2013,MH-1,T1,0,2,0.084,Live,24,2,26,5,9,14,1,1,1,0.65
52,28/09/2013,MH-1,T1,1,1,0.051,Live,24,2,26,5,9,14,1,1,2,0.65
53,28/09/2013,MH-1,T1,2,1,0.064,Live,24,2,26,5,9,14,1,1,2,0.65
50,28/09/2013,MH-1,T1,3,0,0.079,Live,24,2,26,5,9,14,1,1,2,0.65
59,28/09/2013,MH-1,T1,3,0,0.038,Live,24,2,26,5,9,14,1,1,2,0.65
60,28/09/2013,MH-1,T1,3,1,0.05,Live,24,2,26,5,9,14,1,1,2,0.65
66,28/09/2013,MH-1,T1,3,0,0.014,Live,24,2,26,5,9,14,1,1,2,0.65
55,28/09/2013,MH-1,T1,7,0,0.101,Live,24,2,26,5,9,14,1,1,2,0.65
63,28/09/2013,MH-1,T1,8,0,0.058,Live,24,2,26,5,9,14,1,1,2,0.65
326,24/04/2013,HG1,T1,2,1,0.11,Live,31,0,31,12,3,15,1,1,2,0.673913043
335,24/04/2013,HG1,T1,4,2,0.14,Live,31,0,31,12,3,15,1,1,3,0.673913043
343,24/04/2013,HG1,T1,4,0,0.07,Live,31,0,31,12,3,15,1,1,1,0.673913043
357,23/04/2013,K1,T1,1,0,0.1,Live,18,0,18,5,2,7,7,1,1,0.72
359,23/04/2013,K1,T1,1,0,0.05,Live,18,0,18,5,2,7,7,1,1,0.72
330,24/04/2013,LL3,T3,2,0,0.06,Live,34,0,34,9,4,13,5,1,4,0.723404255
329,24/04/2013,LL3,T3,3,1,0.13,Live,34,0,34,9,4,13,5,1,4,0.723404255
338,24/04/2013,LL3,T3,3,0,0.07,Live,34,0,34,9,4,13,5,1,4,0.723404255
339,24/04/2013,LL3,T3,3,0,0.06,Live,34,0,34,9,4,13,5,1,4,0.723404255
311,02/05/2013,M3,T3,2,1,0.06,Live,30,5,35,5,7,12,1,1,4,0.744680851
304,02/05/2013,M3,T3,3,0,0.08,Live,30,5,35,5,7,12,1,1,4,0.744680851
312,02/05/2013,M3,T3,3,0,0.04,Live,30,5,35,5,7,12,1,1,4,0.744680851
315,02/05/2013,M3,T3,6,0,0.03,Live,30,5,35,5,7,12,1,1,4,0.744680851
314,02/05/2013,M3,T3,8,0,0.05,Live,30,5,35,5,7,12,1,1,4,0.744680851
313,02/05/2013,M3,T3,10,0,0.11,Live,30,5,35,5,7,12,1,1,4,0.744680851
316,02/05/2013,M3,T3,20,0,0.09,Live,30,5,35,5,7,12,1,1,4,0.744680851
171,12/06/2013,S1-4,T1,1,4,0.03,Live,13,2,15,3,2,5,1,1,2,0.75
133,12/06/2013,S1-4,T1,2,0,0.04,Live,13,2,15,3,2,5,1,1,2,0.75
78,14/06/2013,MD2,T2,0,2,0.04,Live,38,4,42,7,4,11,6,1,3,0.79245283
72,14/06/2013,MD2,T2,1,1,0.06,Live,38,4,42,7,4,11,6,1,4,0.79245283
85,14/06/2013,MD2,T2,1,1,0.03,Live,38,4,42,7,4,11,6,1,4,0.79245283
87,14/06/2013,MD2,T2,2,1,0.04,Live,38,4,42,7,4,11,6,1,4,0.79245283
124,12/06/2013,S_1-2,T2,0,1,0.03,Live,20,3,23,3,3,6,1,1,1,0.793103448
141,12/06/2013,S_1-2,T2,0,1,0.02,Live,20,3,23,3,3,6,1,1,1,0.793103448
143,12/06/2013,S_1-2,T2,0,2,0.03,Live,20,3,23,3,3,6,1,1,1,0.793103448
113,12/06/2013,S_1-1,T1,0,1,0.04,Live,29,0,29,3,4,7,1,1,1,0.805555556
150,12/06/2013,S_1-1,T1,0,2,0.03,Live,29,0,29,3,4,7,1,1,1,0.805555556
164,12/06/2013,S_1-1,T1,0,5,0.04,Live,29,0,29,3,4,7,1,1,1,0.805555556
152,12/06/2013,S_1-1,T1,1,3,0.05,Live,29,0,29,3,4,7,1,1,2,0.805555556
183,12/06/2013,S_1-3,T3,7,0,0.02,Live,23,0,23,1,3,4,1,1,2,0.851851852
180,12/06/2013,S_1-3,T3,8,0,0.03,Live,23,0,23,1,3,4,1,1,2,0.851851852
156,12/06/2013,S_1-3,T3,14,0,0.18,Live,23,0,23,1,3,4,1,1,2,0.851851852
185,12/06/2013,S1-6,T3,7,0,0.02,Live,10,2,12,0,2,2,0,1,2,0.857142857
184,12/06/2013,S1-6,T3,8,0,0.02,Live,10,2,12,0,2,2,0,1,2,0.857142857
221,07/05/2013,M4,T1,5,1,0.08,Live,18,7,25,2,2,4,1,1,4,0.862068966
226,07/05/2013,M4,T1,22,0,0.09,Live,18,7,25,2,2,4,1,1,4,0.862068966
309,02/05/2013,M2,T2,4,0,0.09,Live,41,6,47,6,1,7,0,1,4,0.87037037
308,02/05/2013,M1,T1,1,1,0.04,Live,41,4,45,2,2,4,0,1,4,0.918367347
310,02/05/2013,M1,T1,5,0,0.11,Live,41,4,45,2,2,4,0,1,4,0.918367347